ip_name,total_search_volume,total_comments,avg_sentiment_score,top_platform,peak_search_volume,monthly_growth_rate,brand_value_index
Labubu,52000000,156000,0.82,微博,7200000,45.2,96.5
Molly,18000000,89000,0.78,小红书,3200000,12.3,88.2
Dimoo,9500000,45000,0.81,小红书,1580000,8.7,75.6
Skull Panda,11200000,52000,0.76,微博,2700000,22.5,82.3
Pucky,6800000,32000,0.79,抖音,1200000,5.2,68.9
Zimomo,4200000,18000,0.80,小红书,980000,15.8,62.1
Hirono,5600000,28000,0.77,微博,1350000,28.6,71.5
YUKI,3800000,15000,0.74,抖音,850000,18.3,55.8
LABUBU MINI,8900000,42000,0.85,微博,2100000,62.1,78.9
MEGA珍藏系列,7500000,38000,0.73,小红书,1800000,35.4,85.2
