category,positive_count,negative_count,neutral_count,positive_pct,negative_pct,neutral_pct,avg_likes_positive,avg_likes_negative
新品上市,12500,1800,3200,71.4,10.3,18.3,3800,1200
价格讨论,5800,4200,6500,35.2,25.5,39.3,2100,3500
开箱分享,15600,500,2400,84.3,2.7,13.0,4500,800
联名合作,8900,1200,2800,69.0,9.3,21.7,5200,1500
二手交易,4200,3800,5600,30.9,27.9,41.2,3100,4200
海外热度,18500,800,3200,82.2,3.6,14.2,7500,1200
供货问题,2100,5200,4800,17.4,43.0,39.6,1200,3800
风格讨论,7800,1500,3200,62.4,12.0,25.6,3500,1100
促销活动,6500,2100,4200,50.8,16.4,32.8,2800,1500
收藏投资,8200,900,2100,73.2,8.0,18.8,4100,900
资本市场,7500,1200,3800,60.0,9.6,30.4,5600,2100
表情包,28000,200,1800,93.3,0.7,6.0,12000,500
限定发售,11200,800,2500,77.2,5.5,17.3,5800,1100
