age_group,gender,comment_count,avg_sentiment,avg_spending_yuan,preferred_platform,top_ip_preference,repurchase_rate
18-24,女,35000,0.81,580,小红书,Labubu,0.72
18-24,男,12000,0.74,420,抖音,Skull Panda,0.65
25-30,女,28000,0.79,850,微博,Molly,0.78
25-30,男,8000,0.76,680,抖音,Skull Panda,0.71
31-35,女,15000,0.77,1200,小红书,Dimoo,0.82
31-35,男,5000,0.73,950,微博,MEGA系列,0.68
36-40,女,8000,0.75,1500,微博,Molly,0.85
36-40,男,3000,0.71,1100,抖音,Hirono,0.62
40+,女,5000,0.72,1800,微博,Molly,0.88
40+,男,2000,0.69,1300,抖音,Zimomo,0.55
18岁以下,女,12000,0.85,280,抖音,Labubu,0.58
18岁以下,男,8000,0.80,200,抖音,LABUBU MINI,0.52
